ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
111920,WASHINGTON ST ,WHI ,WASHINGTON TER ,5/13/97,3
111933,BERRY ST ,QUI ,QUINCY AV ,5/12/97,3
111976,ERIN ST ,WHI ,BROAD ST ,4/25/97,3
111995,50 VINCENT ST ,WHI ,,5/7/97,3
111996,REGAL ST ,WHI ,,5/7/97,3
111997,REGAL ST ,WHI ,APOLLO RD ,5/7/97,3
112002,FRANKLIN ST ,WHI ,,5/8/97,3
112010,14 ROBERT AV ,WHI ,,5/12/97,3
112011,ROBERT ST ,WHI ,WASHINGTON ST ,5/12/97,3
112023,WORCESTER TPKE ,WEL ,OAK ST ,4/16/97,3
112035,53 SIMMONS AV ,WHI ,,5/5/97,3
112038,STRAWBERRY LN ,WHI ,CRANBERRY RD ,5/6/97,3
112039,154 CRANBERRY RD ,WHI ,,5/6/97,3
112260,837 REVERE BEACH PKWY ,REV ,,5/23/97,3
112373,43 VALLEY RD ,MIL ,,5/25/97,3
112389,HIGH ST ,WHI ,OLD HIGH ST ,5/22/97,3
112773,294 W SQUANTUM ST ,QUI ,,5/22/97,3
112795,25 CLARENDON ST ,QUI ,,5/9/97,3
112800,121 GREENFIELD RD ,DOR ,RADCLIFFE RD ,6/5/97,3
112868,31 DARTMOUTH ST ,QUI ,,5/15/97,3
112900,74 CHAPMAN ST ,QUI ,,6/5/97,3
112905,542 WASHINGTON ST ,WHI ,,5/28/97,3
112993,PULASKI ST ,PEA ,BUXTON LN ,6/9/97,3
113000,LOWELL ST ,PEA ,NEWBURY ST ,6/11/97,3
113048,LOWELL ST ,PEA ,BOURBON ST ,6/11/97,3
113056,2 SHETLAND RD ,MAR ,HUMPHREY ST ,6/3/97,3
113442,331 FREEPORT ST ,DOR ,,6/30/97,3
113507,185 HARVARD ST ,DOR ,,7/1/97,3
